Nº	ROTA	CLIENTE	FORNECEDOR	OPERAÇÃO	VALOR	HR FRANQ	KM FRANQ	HR EXTRA	KM EXTRA	PEDÁGIO	STATUS		DATA INICIAL	HORA INICIAL	REF.	ROTA	VIATURA	VEICULO ESCOLTADO	DATA FINAL	HORA FINAL		INICIAL	FINAL	TOTAL		INICIAL	FINAL	TOTAL		KM 	VALOR	TOTAL		HORA	VALOR	TOTAL		ACIONAMENTO	PEDAGIO	REVISÃO	TOTAL CLIENTE		Nº	ROTA	CLIENTE	FORNECEDOR	EQUIPE	VALOR	HR FRANQ	KM FRANQ	HR EXTRA	KM EXTRA	PEDAGIO	SITUAÇÃO												  	FINAL	TOTAL		INICIAL	FINAL	TOTAL		KM 	VALOR	TOTAL		HORA	VALOR	 TOTAL 		ESCOLTA	 PEDÁGIO 	TOTAL FORNECEDOR
	BARUERI X LOUVEIRA	PRESTEX	CTS	CARACTERIZADA	 R$702,00 	03:00:00	100	 R$169,00 	 R$7,30 	À PARTE	RECUSADA		02/03/2026	09:00:00	SUDESTE	BARUERI X LOUVEIRA			02/03/2026	12:00:00				0		09:00:00	12:00:00	03:00:00		0	 R$7,30 	 R$-   		00:00:00	 R$169,00 	 R$-   		 R$702,00 	 R$ -   	 R$ -   	 R$ -   		0	BARUERI X LOUVEIRA	PRESTEX	CTS	CARACTERIZADA	 R$ 480,15 	3:00:00	100	 R$106,70 	 R$4,80 	À PARTE	RECUSADA		02/03/2026	09:00:00	277922	SP	BARUERI X LOUVEIRA	00:00:00	00:00	02/03/2026	12:00:00		0	0	0		09:00:00	12:00:00	03:00:00		0	 R$4,80 	 R$-   		00:00:00	 R$106,70 	 R$-   		 R$480,15 	 R$ -   	 R$-   
3746	URBANO PALHOÇA	IBL	BAZISUL	CARACTERIZADA	 R$1.250,00 	03:00:00	100	 R$179,00 	 R$8,00 	À PARTE	CONCLUIDO		02/03/2026	09:16:00	SUL	URBANO PALHOÇA	SXI5H20	SXM0G99	02/03/2026	10:39:00		106.648	106.656	8		09:16:00	10:39:00	01:23:00		0	 R$8,00 	 R$-   		00:00:00	 R$179,00 	 R$-   		 R$1.250,00 	 R$ -   	 R$ 1.250,00 	 R$ 1.250,00 		3746	URBANO PALHOÇA	IBL	BAZISUL	CARACTERIZADA	 R$ 450,00 	4:00:00	110	 R$90,00 	 R$4,00 	À PARTE	CONCLUIDO		02/03/2026	09:16:00		SC	URBANO PALHOÇA	SXI5H20	SXM0G99	02/03/2026	10:39:00		106.648	106.656	8		09:16:00	10:39:00	01:23:00		0	 R$4,00 	 R$-   		00:00:00	 R$90,00 	 R$-   		 R$450,00 	 R$ -   	 R$450,00 
3747	URBANO PALHOÇA	IBL	BAZISUL	CARACTERIZADA	 R$1.250,00 	03:00:00	100	 R$179,00 	 R$8,00 	À PARTE	CONCLUIDO		02/03/2026	10:58:00	SUL	URBANO PALHOÇA	SXI5H20	SXM0G99	02/03/2026	12:02:00		106.665	106.673	8		10:58:00	12:02:00	01:04:00		0	 R$8,00 	 R$-   		00:00:00	 R$179,00 	 R$-   		 R$1.250,00 	 R$ -   	 R$ 1.250,00 	 R$ 1.250,00 		3747	URBANO PALHOÇA	IBL	BAZISUL	CARACTERIZADA	 R$ 450,00 	4:00:00	110	 R$90,00 	 R$4,00 	À PARTE	CONCLUIDO		02/03/2026	10:58:00		SC	URBANO PALHOÇA	SXI5H20	SXM0G99	02/03/2026	12:02:00		106.665	106.673	8		10:58:00	12:02:00	01:04:00		0	 R$4,00 	 R$-   		00:00:00	 R$90,00 	 R$-   		 R$450,00 	 R$ -   	 R$-   
3748	JOINVILLE SC X CAXIAS DO SUL  RS	IBL	SOARES	CARACTERIZADA	 R$928,00 	03:00:00	100	 R$181,33 	 R$7,30 	À PARTE	CONCLUIDO		02/03/2026	09:10:00	SUL	JOINVILLE SC X CAXIAS DO SUL  RS	RHZ0E52	SXC8E89	03/03/2026	17:16:00		243.954	244.780	826		09:10:00	17:16:00	32:06:00		726	 R$7,30 	 R$5.299,80 		29:06:00	 R$181,33 	 R$5.276,70 		 R$928,00 	 R$ 45,85 	 R$ 11.550,35 	 R$ 11.550,35 		3748	JOINVILLE SC X CAXIAS DO SUL  RS	IBL	SOARES	CARACTERIZADA	 R$ 3.500,00 	18:00:00	700	 R$90,00 	 R$4,00 	À PARTE	CONCLUIDO		02/03/2026	09:10:00		SC	JOINVILLE SC X CAXIAS DO SUL  RS	RHZ0E52	SXC8E89	03/03/2026	17:16:00		243.954	244.780	826		09:10:00	17:16:00	32:06:00		126	 R$4,00 	 R$504,00 		14:06:00	 R$90,00 	 R$1.269,00 		 R$3.500,00 	 R$ 45,85 	 R$5.318,85 
3749	JUNDIAI/SP X  200KM - SENTIDO CABO DE SANTO AGOSTINHO/PE	CEVA	COMANDO G8	CARACTERIZADA	 R$1.400,00 	05:00:00	200	 R$160,00 	 R$6,60 	À PARTE	CONCLUIDO		02/03/2026	11:43:00	LOGITECH	JUNDIAI/SP X  200KM - SENTIDO CABO DE SANTO AGOSTINHO/PE	TXW5H55	 GDB3G27	02/03/2026	14:30:00		14.920	15.123	203		11:43:00	14:30:00	02:47:00		3	 R$6,60 	 R$19,80 		00:00:00	 R$160,00 	 R$-   		 R$1.400,00 	 R$ 35,00 	 R$ 1.454,80 	 R$ 1.454,80 		3749	JUNDIAI/SP X  200KM - SENTIDO CABO DE SANTO AGOSTINHO/PE	CEVA	COMANDO G8	CARACTERIZADA	 R$ 800,00 	7:00:00	200	 R$90,00 	 R$4,00 	À PARTE	CONCLUIDO		02/03/2026	11:43:00		SP	JUNDIAI/SP X  200KM - SENTIDO CABO DE SANTO AGOSTINHO/PE	TXW5H55	 GDB3G27	02/03/2026	14:30:00		14.920	15.123	203		11:43:00	14:30:00	02:47:00		3	 R$4,00 	 R$12,00 		00:00:00	 R$90,00 	 R$-   		 R$800,00 	 R$ 35,00 	 R$847,00 
3750	JUNDIAI/SP X  200KM - SENTIDO VIANA/ES 	CEVA	COMANDO G8	CARACTERIZADA	 R$1.400,00 	05:00:00	200	 R$160,00 	 R$6,60 	À PARTE	CONCLUIDO		02/03/2026	14:45:00	LOGITECH	JUNDIAI/SP X  200KM - SENTIDO VIANA/ES 	TXW5H39	TON1D35	02/03/2026	19:16:00		13.102	13.307	205		14:45:00	19:16:00	04:31:00		5	 R$6,60 	 R$33,00 		00:00:00	 R$160,00 	 R$-   		 R$1.400,00 	 R$ 35,00 	 R$ 1.468,00 	 R$ 1.468,00 		3750	JUNDIAI/SP X  200KM - SENTIDO VIANA/ES 	CEVA	COMANDO G8	CARACTERIZADA	 R$ 800,00 	7:00:00	200	 R$90,00 	 R$4,00 	À PARTE	CONCLUIDO		02/03/2026	14:45:00		SP	JUNDIAI/SP X  200KM - SENTIDO VIANA/ES 	TXW5H39	TON1D35	02/03/2026	19:16:00		13.102	13.307	205		14:45:00	19:16:00	04:31:00		5	 R$4,00 	 R$20,00 		00:00:00	 R$90,00 	 R$-   		 R$800,00 	 R$ 35,00 	 R$855,00 
3751	JUNDIAI/SP X  200KM - SENTIDO BETIM /MG	CEVA	COMANDO G8	CARACTERIZADA	 R$1.400,00 	05:00:00	200	 R$160,00 	 R$6,60 	À PARTE	CONCLUIDO		02/03/2026	16:00:00	LOGITECH	JUNDIAI/SP X  200KM - SENTIDO BETIM /MG	RNP1H10	 AWR4C38	02/03/2026	21:17:00		338.006	338.206	200		16:00:00	21:17:00	05:17:00		0	 R$6,60 	 R$-   		00:17:00	 R$160,00 	 R$160,00 		 R$1.400,00 	 R$ 35,00 	 R$ 1.595,00 	 R$ 1.595,00 		3751	JUNDIAI/SP X  200KM - SENTIDO BETIM /MG	CEVA	COMANDO G8	CARACTERIZADA	 R$ 800,00 	7:00:00	200	 R$90,00 	 R$4,00 	À PARTE	CONCLUIDO		02/03/2026	16:00:00		SP	JUNDIAI/SP X  200KM - SENTIDO BETIM /MG	RNP1H10	 AWR4C38	02/03/2026	21:17:00		338.006	338.206	200		16:00:00	21:17:00	05:17:00		0	 R$4,00 	 R$-   		00:00:00	 R$90,00 	 R$-   		 R$800,00 	 R$ 35,00 	 R$835,00 
3752	CAMPINAS X GUARULHOS	IBL	MAXFORD	CARACTERIZADA	 R$730,00 	03:00:00	100	 R$168,51 	 R$7,30 	À PARTE	CONCLUIDO		02/03/2026	09:00:00	SUDESTE	CAMPINAS X GUARULHOS	QOZ3C44	GCM9E63	02/03/2026	14:44:00		172.388	172.529	141		09:00:00	14:44:00	05:44:00		41	 R$7,30 	 R$299,30 		02:44:00	 R$168,51 	 R$460,59 		 R$730,00 	 R$ 55,00 	 R$ 1.544,89 	 R$ 1.544,89 		3752	CAMPINAS X GUARULHOS	IBL	MAXFORD	CARACTERIZADA	 R$ 450,00 	3:00:00	100	 R$100,00 	 R$5,00 	À PARTE	CONCLUIDO		02/03/2026	09:00:00		SP	CAMPINAS X GUARULHOS	QOZ3C44	GCM9E63	02/03/2026	14:44:00		172.388	172.529	141		09:00:00	14:44:00	05:44:00		41	 R$5,00 	 R$205,00 		02:44:00	 R$100,00 	 R$273,33 		 R$450,00 	 R$ 55,00 	 R$983,33 
3753	URBANO MG	IBL	CENTURIÃO	CARACTERIZADA	 R$930,00 	03:00:00	100	 R$168,51 	 R$7,30 	À PARTE	CONCLUIDO		02/03/2026	10:00:00	SUDESTE MG E ES	URBANO MG	UAB8F46	HIM0228	02/03/2026	12:32:00		5.443	5.465	22		10:00:00	12:32:00	02:32:00		0	 R$7,30 	 R$-   		00:00:00	 R$168,51 	 R$-   		 R$930,00 	 R$ -   	 R$ 930,00 	 R$ 930,00 		3753	URBANO MG	IBL	CENTURIÃO	CARACTERIZADA	 R$ 500,00 	03:00	100	 R$118,00 	 R$5,00 	À PARTE	CONCLUIDO		02/03/2026	10:00:00		MG	URBANO MG	UAB8F46	HIM0228	02/03/2026	12:32:00		5.443	5.465	22		10:00:00	12:32:00	02:32:00		0	 R$5,00 	 R$-   		00:00:00	 R$118,00 	 R$-   		 R$500,00 	 R$ -   	 R$500,00 
3754	URBANO MG	IBL	CENTURIÃO	CARACTERIZADA	 R$930,00 	03:00:00	100	 R$168,51 	 R$7,30 	À PARTE	CONCLUIDO		02/03/2026	13:46:00	SUDESTE MG E ES	URBANO MG	UAB8F46	HIM0228	02/03/2026	15:39:00		5.491	5.514	23		13:46:00	15:39:00	01:53:00		0	 R$7,30 	 R$-   		00:00:00	 R$168,51 	 R$-   		 R$930,00 	 R$ -   	 R$ 930,00 	 R$ 930,00 		3754	URBANO MG	IBL	CENTURIÃO	CARACTERIZADA	 R$ 500,00 	03:00	100	 R$118,00 	 R$5,00 	À PARTE	CONCLUIDO		02/03/2026	13:46:00		MG	URBANO MG	UAB8F46	HIM0228	02/03/2026	15:39:00		5.491	5.514	23		13:46:00	15:39:00	01:53:00		0	 R$5,00 	 R$-   		00:00:00	 R$118,00 	 R$-   		 R$500,00 	 R$ -   	 R$500,00 
3755	CANOAS/RS X CARLOS BARBOSA/RS	IBL	STAR	CARACTERIZADA	 R$928,00 	03:00:00	100	 R$181,33 	 R$7,30 	À PARTE	CONCLUIDO		02/03/2026	05:21:00	SUL	CANOAS/RS X CARLOS BARBOSA/RS	QUF7J47	BEB7E33	02/03/2026	07:56:00		197.052	197.157	105		05:21:00	07:56:00	02:35:00		5	 R$7,30 	 R$36,50 		00:00:00	 R$181,33 	 R$-   		 R$928,00 	 R$ 23,40 	 R$ 987,90 	 R$ 987,90 		3755	CANOAS/RS X CARLOS BARBOSA/RS	IBL	STAR	CARACTERIZADA	 R$ 500,00 	3:00:00	100	 R$90,00 	 R$4,00 	À PARTE	CONCLUIDO		02/03/2026	05:21:00		SC	CANOAS/RS X CARLOS BARBOSA/RS	QUF7J47	BEB7E33	02/03/2026	07:56:00		197.052	197.157	105		05:21:00	07:56:00	02:35:00		5	 R$4,00 	 R$20,00 		00:00:00	 R$90,00 	 R$-   		 R$500,00 	 R$ 23,40 	 R$543,40 
3756	CAMPINAS X CONGONHAS	IBL	COLISEU	CARACTERIZADA	 R$730,00 	03:00:00	100	 R$168,51 	 R$7,30 	À PARTE	CONCLUIDO		02/03/2026	09:00:00	SUDESTE	CAMPINAS X CONGONHAS	SIC-3E46	RFU2F31	02/03/2026	12:16:00		134676	134799	123		09:00:00	12:16:00	03:16:00		23	 R$7,30 	 R$167,90 		00:16:00	 R$168,51 	 R$44,94 		 R$730,00 	 R$ 55,00 	 R$ 997,84 	 R$ 997,84 		3756	CAMPINAS X CONGONHAS	IBL	COLISEU	CARACTERIZADA	 R$ 467,43 	3:00:00	100	 R$102,60 	 R$4,55 	À PARTE	CONCLUIDO		02/03/2026	09:00:00		SP	CAMPINAS X CONGONHAS	SIC-3E46	RFU2F31	02/03/2026	12:16:00		134.676	134.799	123		09:00:00	12:16:00	03:16:00		23	 R$4,55 	 R$104,65 		00:16:00	 R$102,60 	 R$27,36 		 R$467,43 	 R$ 55,00 	 R$654,44 
3757	CAMPINAS X CONGONHAS	IBL	COLISEU	CARACTERIZADA	 R$730,00 	03:00:00	100	 R$168,51 	 R$7,30 	À PARTE	CANCELADA		02/03/2026	13:47:00	SUDESTE	CANCELADA PELO ENCARREGADO 	SIC-3E46	RFU2F31	02/03/2026	14:37:00		134912	134912	0		13:47:00	14:37:00	00:50:00		0	 R$7,30 	 R$-   		00:00:00	 R$168,51 	 R$-   		 R$730,00 		 R$ 730,00 	 R$ 730,00 		3757	CAMPINAS X CONGONHAS	IBL	COLISEU	CARACTERIZADA	 R$ 467,43 	3:00:00	100	 R$102,60 	 R$4,55 	À PARTE	CANCELADA		02/03/2026	13:47:00		SP	CANCELADA PELO ENCARREGADO 	SIC-3E46	RFU2F31	02/03/2026	14:37:00		134.912	134.912	0		13:47:00	14:37:00	00:50:00		0	 R$4,55 	 R$-   		00:00:00	 R$102,60 	 R$-   		 R$467,43 	 R$ -   	 R$467,43 
